Champion Type,First Team,Second Team,Match Time,RESULT
دوري أبطال أفريقيا,يانج افريكانز,مازيمبي,15:00,(1 - 1)
دوري أبطال أفريقيا,الجيش الملكي,أس مانيما يونيون,15:00,(1 - 1)
دوري أبطال أفريقيا,أورلاندو بايرتس,استاد أبيدجان,18:00,(1 - 1)
دوري أبطال أفريقيا,بيراميدز,الترجى الرياضي,21:00,(2 - 0)
دوري أبطال أفريقيا,الهلال السوداني,مولودية الجزائر,21:00,(0 - 1)
الدوري الإنجليزي,ايفرتون,أرسنال,17:00,(0 - 0)
الدوري الإنجليزي,فولهام,ليفربول,17:00,(2 - 2)
الدوري الإنجليزي,إيبسويتش تاون,وولفرهامبتون,17:00,(1 - 2)
الدوري الإنجليزي,ليستر سيتي,نيوكاسل,17:00,(4 - 0)
الدوري الإنجليزي,أستون فيلا,نوتينجهام فورست,19:30,(2 - 1)
الدوري الإسباني,أوساسونا,اسبانيول,15:00,(0 - 0)
الدوري الإسباني,جيرونا,مايوركا,17:15,(2 - 1)
الدوري الإسباني,سيلتا فيجو,اشبيلية,19:30,(1 - 0)
الدوري الإسباني,ريال مدريد,رايو فاييكانو,22:00,(3 - 3)
الدوري الألماني,هولشتاين كيل,مونشنجلادباخ,16:30,(4 - 1)
الدوري الألماني,بايرن ميونيخ,ماينز,16:30,(2 - 1)
الدوري الألماني,باير ليفركوزن,أوجسبورج,16:30,(0 - 2)
الدوري الألماني,بوخوم,يونيون برلين,16:30,(1 - 1)
الدوري الألماني,فيردر بريمن,سانت باولي,19:30,(0 - 2)
الدوري الفرنسي,ليل,مارسيليا,18:00,(1 - 1)
الدوري الفرنسي,لانس,اوكسير,20:00,(2 - 2)
الدوري الفرنسي,موناكو,ريمس,22:00,(0 - 0)
كأس إنتركونتيننتال,الأهلي,باتشوكا,19:00,(0 - 0)
الدوري المصري الممتاز - سيدات,الجونة,المصري,14:30,(1 - 1)
الدوري المصري الممتاز - سيدات,الاتحاد السكندري,وادي دجلة,14:30,(11 - 0)
الدوري المصري الممتاز - سيدات,اتحاد بسيون,مودرن سبورت,14:30,(5 - 0)
الدوري المصري الممتاز - سيدات,البنك الأهلي,زد,16:00,(1 - 1)
الدوري الإيطالي,أتالانتا,كالياري,16:00,(0 - 1)
الدوري الإيطالي,نابولي,أودينيزي,19:00,(1 - 3)
الدوري الإيطالي,فينيزيا,يوفنتوس,21:45,(2 - 2)
الدوري التركي,قونيا سبور,ريزه سبور,15:00,(1 - 1)
الدوري التركي,غازي عنتاب بي.بي.كي,ألانيا سبور,18:00,(3 - 0)
الدوري البرتغالي,جل فيسنتي,فيرنسي,17:30,(0 - 1)
الدوري البرتغالي,موريرنسي,ناسيونال ماديرا,20:00,(1 - 0)
الدوري البرتغالي,بوافيستا,سبورتينج لشبونة,22:30,(3 - 2)
الدوري المغربي,اتحاد طنجة,النادي المكناسي,17:00,(1 - 0)
الدوري المغربي,الشباب الرياضي السالمي,الوداد البيضاوي,19:00,(3 - 0)
الدوري المغربي,نهضة الزمامرة,الاتحاد التوركي,21:00,(0 - 0)
الدوري الإماراتي,عجمان,العروبة,14:45,(0 - 2)
الدوري الإماراتي,البطائح,بني ياس,14:45,(1 - 1)
الدوري الإماراتي,الوحـــدة,الشــارقة,17:30,(2 - 0)
الدوري التونسي,فابيس,الترجي الجرجيسي,15:00,(2 - 0)
الدوري التونسي,البنزرتي,شبيبة العمران,15:00,(1 - 1)
دوري أبطال أفريقيا,يانج افريكانز,مازيمبي,15:00,(1 - 1)
دوري أبطال أفريقيا,الجيش الملكي,أس مانيما يونيون,15:00,(1 - 1)
دوري أبطال أفريقيا,أورلاندو بايرتس,استاد أبيدجان,18:00,(1 - 1)
دوري أبطال أفريقيا,بيراميدز,الترجى الرياضي,21:00,(2 - 0)
دوري أبطال أفريقيا,الهلال السوداني,مولودية الجزائر,21:00,(0 - 1)
الدوري الإنجليزي,ايفرتون,أرسنال,17:00,(0 - 0)
الدوري الإنجليزي,فولهام,ليفربول,17:00,(2 - 2)
الدوري الإنجليزي,إيبسويتش تاون,وولفرهامبتون,17:00,(1 - 2)
الدوري الإنجليزي,ليستر سيتي,نيوكاسل,17:00,(4 - 0)
الدوري الإنجليزي,أستون فيلا,نوتينجهام فورست,19:30,(2 - 1)
الدوري الإسباني,أوساسونا,اسبانيول,15:00,(0 - 0)
الدوري الإسباني,جيرونا,مايوركا,17:15,(2 - 1)
الدوري الإسباني,سيلتا فيجو,اشبيلية,19:30,(1 - 0)
الدوري الإسباني,ريال مدريد,رايو فاييكانو,22:00,(3 - 3)
الدوري الألماني,هولشتاين كيل,مونشنجلادباخ,16:30,(4 - 1)
الدوري الألماني,بايرن ميونيخ,ماينز,16:30,(2 - 1)
الدوري الألماني,باير ليفركوزن,أوجسبورج,16:30,(0 - 2)
الدوري الألماني,بوخوم,يونيون برلين,16:30,(1 - 1)
الدوري الألماني,فيردر بريمن,سانت باولي,19:30,(0 - 2)
الدوري الفرنسي,ليل,مارسيليا,18:00,(1 - 1)
الدوري الفرنسي,لانس,اوكسير,20:00,(2 - 2)
الدوري الفرنسي,موناكو,ريمس,22:00,(0 - 0)
كأس إنتركونتيننتال,الأهلي,باتشوكا,19:00,(0 - 0)
الدوري المصري الممتاز - سيدات,الجونة,المصري,14:30,(1 - 1)
الدوري المصري الممتاز - سيدات,الاتحاد السكندري,وادي دجلة,14:30,(11 - 0)
الدوري المصري الممتاز - سيدات,اتحاد بسيون,مودرن سبورت,14:30,(5 - 0)
الدوري المصري الممتاز - سيدات,البنك الأهلي,زد,16:00,(1 - 1)
الدوري الإيطالي,أتالانتا,كالياري,16:00,(0 - 1)
الدوري الإيطالي,نابولي,أودينيزي,19:00,(1 - 3)
الدوري الإيطالي,فينيزيا,يوفنتوس,21:45,(2 - 2)
الدوري التركي,قونيا سبور,ريزه سبور,15:00,(1 - 1)
الدوري التركي,غازي عنتاب بي.بي.كي,ألانيا سبور,18:00,(3 - 0)
الدوري البرتغالي,جل فيسنتي,فيرنسي,17:30,(0 - 1)
الدوري البرتغالي,موريرنسي,ناسيونال ماديرا,20:00,(1 - 0)
الدوري البرتغالي,بوافيستا,سبورتينج لشبونة,22:30,(3 - 2)
الدوري المغربي,اتحاد طنجة,النادي المكناسي,17:00,(1 - 0)
الدوري المغربي,الشباب الرياضي السالمي,الوداد البيضاوي,19:00,(3 - 0)
الدوري المغربي,نهضة الزمامرة,الاتحاد التوركي,21:00,(0 - 0)
الدوري الإماراتي,عجمان,العروبة,14:45,(0 - 2)
الدوري الإماراتي,البطائح,بني ياس,14:45,(1 - 1)
الدوري الإماراتي,الوحـــدة,الشــارقة,17:30,(2 - 0)
الدوري التونسي,فابيس,الترجي الجرجيسي,15:00,(2 - 0)
الدوري التونسي,البنزرتي,شبيبة العمران,15:00,(1 - 1)
دوري أبطال أفريقيا,يانج افريكانز,مازيمبي,15:00,(1 - 1)
دوري أبطال أفريقيا,الجيش الملكي,أس مانيما يونيون,15:00,(1 - 1)
دوري أبطال أفريقيا,أورلاندو بايرتس,استاد أبيدجان,18:00,(1 - 1)
دوري أبطال أفريقيا,بيراميدز,الترجى الرياضي,21:00,(2 - 0)
دوري أبطال أفريقيا,الهلال السوداني,مولودية الجزائر,21:00,(0 - 1)
الدوري الإنجليزي,ايفرتون,أرسنال,17:00,(0 - 0)
الدوري الإنجليزي,فولهام,ليفربول,17:00,(2 - 2)
الدوري الإنجليزي,إيبسويتش تاون,وولفرهامبتون,17:00,(1 - 2)
الدوري الإنجليزي,ليستر سيتي,نيوكاسل,17:00,(4 - 0)
الدوري الإنجليزي,أستون فيلا,نوتينجهام فورست,19:30,(2 - 1)
الدوري الإسباني,أوساسونا,اسبانيول,15:00,(0 - 0)
الدوري الإسباني,جيرونا,مايوركا,17:15,(2 - 1)
الدوري الإسباني,سيلتا فيجو,اشبيلية,19:30,(1 - 0)
الدوري الإسباني,ريال مدريد,رايو فاييكانو,22:00,(3 - 3)
الدوري الألماني,هولشتاين كيل,مونشنجلادباخ,16:30,(4 - 1)
الدوري الألماني,بايرن ميونيخ,ماينز,16:30,(2 - 1)
الدوري الألماني,باير ليفركوزن,أوجسبورج,16:30,(0 - 2)
الدوري الألماني,بوخوم,يونيون برلين,16:30,(1 - 1)
الدوري الألماني,فيردر بريمن,سانت باولي,19:30,(0 - 2)
الدوري الفرنسي,ليل,مارسيليا,18:00,(1 - 1)
الدوري الفرنسي,لانس,اوكسير,20:00,(2 - 2)
الدوري الفرنسي,موناكو,ريمس,22:00,(0 - 0)
كأس إنتركونتيننتال,الأهلي,باتشوكا,19:00,(0 - 0)
الدوري المصري الممتاز - سيدات,الجونة,المصري,14:30,(1 - 1)
الدوري المصري الممتاز - سيدات,الاتحاد السكندري,وادي دجلة,14:30,(11 - 0)
الدوري المصري الممتاز - سيدات,اتحاد بسيون,مودرن سبورت,14:30,(5 - 0)
الدوري المصري الممتاز - سيدات,البنك الأهلي,زد,16:00,(1 - 1)
الدوري الإيطالي,أتالانتا,كالياري,16:00,(0 - 1)
الدوري الإيطالي,نابولي,أودينيزي,19:00,(1 - 3)
الدوري الإيطالي,فينيزيا,يوفنتوس,21:45,(2 - 2)
الدوري التركي,قونيا سبور,ريزه سبور,15:00,(1 - 1)
الدوري التركي,غازي عنتاب بي.بي.كي,ألانيا سبور,18:00,(3 - 0)
الدوري البرتغالي,جل فيسنتي,فيرنسي,17:30,(0 - 1)
الدوري البرتغالي,موريرنسي,ناسيونال ماديرا,20:00,(1 - 0)
الدوري البرتغالي,بوافيستا,سبورتينج لشبونة,22:30,(3 - 2)
الدوري المغربي,اتحاد طنجة,النادي المكناسي,17:00,(1 - 0)
الدوري المغربي,الشباب الرياضي السالمي,الوداد البيضاوي,19:00,(3 - 0)
الدوري المغربي,نهضة الزمامرة,الاتحاد التوركي,21:00,(0 - 0)
الدوري الإماراتي,عجمان,العروبة,14:45,(0 - 2)
الدوري الإماراتي,البطائح,بني ياس,14:45,(1 - 1)
الدوري الإماراتي,الوحـــدة,الشــارقة,17:30,(2 - 0)
الدوري التونسي,فابيس,الترجي الجرجيسي,15:00,(2 - 0)
الدوري التونسي,البنزرتي,شبيبة العمران,15:00,(1 - 1)
